Nombre de Dispositivo;Imagenes;Categoria;Link de Descarga;Diseñado por:;Notes;USUARIOS;ESTADO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kwawu Arm 2.0 - Prosthetic -Thermoform Version;Kwawu_2.0_Scalable_Thermoformed(11-4).png (https://v5.airtableusercontent.com/v3/u/35/35/1732672800000/zIibXpUrQCR8k--smto3Hg/sl_FI3V676P39C_FQQZwelsVbF1FglBPTvuEYrnrNuH_QCZ4oE0yfT8a_EDCIwscfxug7VwjWepFaBPJ-cUlQKJ-AQ1tbkkc7ACodNEKXBYv-nsODOTzR7JAoPKdsVjSarW2rR_RsPZ73td_00C6SA/CsVu_tYcBzyIky_k4iKG5ulCPNJb3UEzbJi2nXMrnWE);Elbow Powered;l;by JacquinBuchanan;Características;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1. Ideal para Muñones largos; DESPUES de la mitad del antebrazo.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2. Recomendado para personas adultas; ya que el nivel de detalle es superior; y de encoger el tamaño de la prótesis; se vuelve ineficaz.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3. Parametrizado en OpenScad.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4. Aplicable a sostenedor de pluma o lápiz.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5. Tiempo de impresión: 4 Días aproximadamente; con 5 impresoras simultáneas.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6. El brazo (arm 1) se imprime en una sola pieza; ya que al imprimirse por separado pierde resistencia considerablemente.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7. Dificultad de ensamblado: ↑↑↑;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"    Dificultad de calibración: ↓""";U2022-00087,U2022-00012,U2022-00056,U2022-11875,U2022-02456,U2022-00104,U2023-,U2023-,U2019-01141,U2023-00606,U2023-00546,U2023-00504,U2023-00121,U2023-00160,U2023-00379,U2023-00058,U2023-00221,U2024-00188,U2024-00462,U2023-00274,U2024-00075,U2024-00845,U2024-1668 ,U2024-00975,U2024-00276,U2024-00022,U2024-00051,U2024-00005,U2024-07099,U2024-00093;ACTIVA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kwawu Arm 2.0 - Prosthetic - Socket Version;Kwawu_2.0_Socket(11-4).png (https://v5.airtableusercontent.com/v3/u/35/35/1732672800000/urYPRX6gYWIcnQB0isXSDg/MH32Feb4_GZf_TtXNFzXldBFyXTFRVrj2HPYS5MQ9uD38ADp3rSgU1Px_LIBW6df4qOPFQGXCY77q2jokKvI_KxEkXy8bBulJeNBNtGHfnjkYFEgorS18Yd42XegjEEc/AA52OmqccJdhW5WWTod1nqzJeyY2--l95CcT6hJa9eI);Elbow Powered;https://www.thingiverse.com/thing:2841281;by JacquinBuchanan;Características;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1. Ideal para Muñones cortos; ANTES de la mitad del antebrazo.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
